awardYear,dateAwarded,prizeAmount,prizeAmountAdjusted,category.en,categoryFullName.en,winner_id,winner_link,id,given_name,family_name,full_name,gender,birth_date,birth_place_city,birth_place_country,city_now,country_now,continent
1903,1903-12-10,141358,8830717,Peace,The Nobel Peace Prize,466,https://api.nobelprize.org/2/laureate/466,466,Randal,Cremer,William Randal Cremer,male,1828-03-18,Fareham,United Kingdom,Fareham,United Kingdom,Europe
1903,1903-11-12,141358,8830717,Physics,The Nobel Prize in Physics,4,https://api.nobelprize.org/2/laureate/4,4,Henri,Becquerel,Antoine Henri Becquerel,male,1852-12-15,Paris,France,Paris,France,Europe
1903,1903-11-12,141358,8830717,Physics,The Nobel Prize in Physics,5,https://api.nobelprize.org/2/laureate/5,5,Pierre,Curie,Pierre Curie,male,1859-05-15,Paris,France,Paris,France,Europe
1903,1903-11-12,141358,8830717,Physics,The Nobel Prize in Physics,6,https://api.nobelprize.org/2/laureate/6,6,Marie,Curie,"Marie Curie, née Skłodowska",female,1867-11-07,Warsaw,Russian Empire,Warsaw,Poland,Europe
1903,1903-11-12,141358,8830717,Physics,The Nobel Prize in Physics,6,https://api.nobelprize.org/2/laureate/6,6,Marie,Curie,"Marie Curie, née Skłodowska",female,1867-11-07,Warsaw,Russian Empire,Warsaw,Poland,Europe
1903,1903-10-15,141358,8830717,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,295,https://api.nobelprize.org/2/laureate/295,295,Niels Ryberg,Finsen,Niels Ryberg Finsen,male,1860-12-15,Thorshavn,Faroe Islands (Denmark),Thorshavn,Faroe Islands (Denmark),Europe
1904,1904-11-08,140859,8799545,Chemistry,The Nobel Prize in Chemistry,163,https://api.nobelprize.org/2/laureate/163,163,Sir William,Ramsay,Sir William Ramsay,male,1852-10-02,Glasgow,Scotland,Glasgow,Scotland,Europe
1904,1904-11-17,140859,8799545,Literature,The Nobel Prize in Literature,573,https://api.nobelprize.org/2/laureate/573,573,Frédéric,Mistral,Frédéric Mistral,male,1830-09-08,Maillane,France,Maillane,France,Europe
1904,1904-11-17,140859,8799545,Literature,The Nobel Prize in Literature,574,https://api.nobelprize.org/2/laureate/574,574,José,Echegaray,José Echegaray y Eizaguirre,male,1832-04-19,Madrid,Spain,Madrid,Spain,Europe
1904,1904-12-10,140859,8799545,Peace,The Nobel Peace Prize,467,https://api.nobelprize.org/2/laureate/467,467,Institut de droit international,Institut de droit international,Institut de droit international,,,,,,,
1904,1904-11-08,140859,8799545,Physics,The Nobel Prize in Physics,8,https://api.nobelprize.org/2/laureate/8,8,Lord,Rayleigh,Lord Rayleigh (John William Strutt),male,1842-11-12,"Langford Grove, Maldon, Essex",United Kingdom,"Langford Grove, Maldon, Essex",United Kingdom,Europe
1904,1904-10-20,140859,8799545,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,296,https://api.nobelprize.org/2/laureate/296,296,Ivan,Pavlov,Ivan Petrovich Pavlov,male,1849-09-14,Ryazan,Russia,Ryazan,Russia,Europe
1905,1905-11-09,138089,8626501,Chemistry,The Nobel Prize in Chemistry,164,https://api.nobelprize.org/2/laureate/164,164,Adolf,von Baeyer,Johann Friedrich Wilhelm Adolf von Baeyer,male,1835-10-31,Berlin,Prussia,Berlin,Germany,Europe
1905,1905-11-09,138089,8626501,Literature,The Nobel Prize in Literature,575,https://api.nobelprize.org/2/laureate/575,575,Henryk,Sienkiewicz,Henryk Sienkiewicz,male,1846-05-05,Wola Okrzejska,Poland,Wola Okrzejska,Poland,Europe
1905,1905-12-10,138089,8626501,Peace,The Nobel Peace Prize,468,https://api.nobelprize.org/2/laureate/468,468,Bertha,von Suttner,"Baroness Bertha Sophie Felicita von Suttner, née Countess Kinsky von Chinic und Tettau",female,1843-06-09,Prague,Austrian Empire,Prague,Czech Republic,Europe
1905,1905-11-09,138089,8626501,Physics,The Nobel Prize in Physics,9,https://api.nobelprize.org/2/laureate/9,9,Philipp,Lenard,Philipp Eduard Anton von Lenard,male,1862-06-07,Pressburg,Hungary,Bratislava,Slovakia,Europe
1905,1905-10-12,138089,8626501,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,297,https://api.nobelprize.org/2/laureate/297,297,Robert,Koch,Robert Koch,male,1843-12-11,Clausthal,Germany,Clausthal-Zellerfeld,Germany,Europe
1906,1906-11-12,138536,8407156,Chemistry,The Nobel Prize in Chemistry,165,https://api.nobelprize.org/2/laureate/165,165,Henri,Moissan,Henri Moissan,male,1852-09-28,Paris,France,Paris,France,Europe
1906,1906-11-08,138536,8407156,Literature,The Nobel Prize in Literature,576,https://api.nobelprize.org/2/laureate/576,576,Giosuè,Carducci,Giosuè Carducci,male,1835-07-27,Val di Castello,Tuscany,Val di Castello,Italy,Europe
1906,1906-12-10,138536,8407156,Peace,The Nobel Peace Prize,470,https://api.nobelprize.org/2/laureate/470,470,Theodore,Roosevelt,Theodore Roosevelt Jr.,male,1858-10-27,"New York, NY",USA,"New York, NY",USA,North America
1906,1906-11-12,138536,8407156,Physics,The Nobel Prize in Physics,10,https://api.nobelprize.org/2/laureate/10,10,J.J.,Thomson,Joseph John Thomson,male,1856-12-18,Cheetham Hill,United Kingdom,Cheetham Hill,United Kingdom,Europe
1906,1906-10-25,138536,8407156,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,298,https://api.nobelprize.org/2/laureate/298,298,Camillo,Golgi,Camillo Golgi,male,1843-07-07,Corteno,Italy,Corteno,Italy,Europe
1906,1906-10-25,138536,8407156,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,299,https://api.nobelprize.org/2/laureate/299,299,Santiago,Ramón y Cajal,Santiago Ramón y Cajal,male,1852-05-01,Petilla de Aragón,Spain,Petilla de Aragón,Spain,Europe
1907,1907-11-12,138796,7967641,Chemistry,The Nobel Prize in Chemistry,166,https://api.nobelprize.org/2/laureate/166,166,Eduard,Buchner,Eduard Buchner,male,1860-05-20,Munich,Bavaria,Munich,Germany,Europe
1907,1907-11-07,138796,7967641,Literature,The Nobel Prize in Literature,577,https://api.nobelprize.org/2/laureate/577,577,Rudyard,Kipling,Rudyard Kipling,male,1865-12-30,Bombay,British India,Mumbai,India,Asia
1907,1907-12-10,138796,7967641,Peace,The Nobel Peace Prize,471,https://api.nobelprize.org/2/laureate/471,471,Ernesto Teodoro,Moneta,Ernesto Teodoro Moneta,male,1833-09-20,Milan,Austrian Empire,Milan,Italy,Europe
1907,1907-12-10,138796,7967641,Peace,The Nobel Peace Prize,472,https://api.nobelprize.org/2/laureate/472,472,Louis,Renault,Louis Renault,male,1843-05-21,Autun,France,Autun,France,Europe
1907,1907-11-12,138796,7967641,Physics,The Nobel Prize in Physics,11,https://api.nobelprize.org/2/laureate/11,11,Albert A.,Michelson,Albert Abraham Michelson,male,1852-12-19,Strelno,Prussia,Strzelno,Poland,Europe
1907,1907-10-31,138796,7967641,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,300,https://api.nobelprize.org/2/laureate/300,300,Alphonse,Laveran,Charles Louis Alphonse Laveran,male,1845-06-18,Paris,France,Paris,France,Europe
1908,1908-11-10,139800,8025276,Chemistry,The Nobel Prize in Chemistry,167,https://api.nobelprize.org/2/laureate/167,167,Ernest,Rutherford,Ernest Rutherford,male,1871-08-30,Nelson,New Zealand,Nelson,New Zealand,Oceania
1908,1908-11-12,139800,8025276,Literature,The Nobel Prize in Literature,578,https://api.nobelprize.org/2/laureate/578,578,Rudolf,Eucken,Rudolf Christoph Eucken,male,1846-01-05,Aurich,East Friesland,Aurich,Germany,Europe
1908,1908-12-10,139800,8025276,Peace,The Nobel Peace Prize,473,https://api.nobelprize.org/2/laureate/473,473,Klas Pontus,Arnoldson,Klas Pontus Arnoldson,male,1844-10-27,Gothenburg,Sweden,Gothenburg,Sweden,Europe
1908,1908-12-10,139800,8025276,Peace,The Nobel Peace Prize,474,https://api.nobelprize.org/2/laureate/474,474,Fredrik,Bajer,Fredrik Bajer,male,1837-04-21,Næstved,Denmark,Næstved,Denmark,Europe
1908,1908-11-10,139800,8025276,Physics,The Nobel Prize in Physics,12,https://api.nobelprize.org/2/laureate/12,12,Gabriel,Lippmann,Gabriel Lippmann,male,1845-08-16,Hollerich,Luxembourg,Hollerich,Luxembourg,Europe
1908,1908-10-29,139800,8025276,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,301,https://api.nobelprize.org/2/laureate/301,301,Ilya,Mechnikov,Ilya Ilyich Mechnikov,male,1845-05-15,Kharkov,Russian Empire,Kharkiv,Ukraine,Europe
1908,1908-10-29,139800,8025276,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,302,https://api.nobelprize.org/2/laureate/302,302,Paul,Ehrlich,Paul Ehrlich,male,1854-03-14,Strehlen,Prussia,Strzelin,Poland,Europe
1909,1909-11-09,139800,8025276,Chemistry,The Nobel Prize in Chemistry,168,https://api.nobelprize.org/2/laureate/168,168,Wilhelm,Ostwald,Wilhelm Ostwald,male,1853-09-02,Riga,Russian Empire,Riga,Latvia,Europe
1909,1909-11-11,139800,8025276,Literature,The Nobel Prize in Literature,579,https://api.nobelprize.org/2/laureate/579,579,Selma,Lagerlöf,Selma Ottilia Lovisa Lagerlöf,female,1858-11-20,Mårbacka,Sweden,Mårbacka,Sweden,Europe
1909,1909-12-10,139800,8025276,Peace,The Nobel Peace Prize,475,https://api.nobelprize.org/2/laureate/475,475,Auguste,Beernaert,Auguste Marie François Beernaert,male,1829-07-26,Ostend,Belgium,Ostend,Belgium,Europe
1909,1909-12-10,139800,8025276,Peace,The Nobel Peace Prize,476,https://api.nobelprize.org/2/laureate/476,476,Paul Henri,d'Estournelles de Constant,"Paul Henri Benjamin Balluet d'Estournelles de Constant, Baron de Constant de Rebecque",male,1852-11-22,La Flèche,France,La Flèche,France,Europe
1909,1909-11-09,139800,8025276,Physics,The Nobel Prize in Physics,13,https://api.nobelprize.org/2/laureate/13,13,Guglielmo,Marconi,Guglielmo Marconi,male,1874-04-25,Bologna,Italy,Bologna,Italy,Europe
1909,1909-11-09,139800,8025276,Physics,The Nobel Prize in Physics,14,https://api.nobelprize.org/2/laureate/14,14,Ferdinand,Braun,Karl Ferdinand Braun,male,1850-06-06,Fulda,Hesse-Kassel,Fulda,Germany,Europe
1909,1909-10-28,139800,8025276,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,303,https://api.nobelprize.org/2/laureate/303,303,Theodor,Kocher,Emil Theodor Kocher,male,1841-08-25,Bern,Switzerland,Bern,Switzerland,Europe
1910,1910-11-12,140703,8077113,Chemistry,The Nobel Prize in Chemistry,169,https://api.nobelprize.org/2/laureate/169,169,Otto,Wallach,Otto Wallach,male,1847-03-27,Koenigsberg,Germany,Kaliningrad,Russia,Europe
1910,1910-11-10,140703,8077113,Literature,The Nobel Prize in Literature,580,https://api.nobelprize.org/2/laureate/580,580,Paul,Heyse,Paul Johann Ludwig Heyse,male,1830-03-15,Berlin,Prussia,Berlin,Germany,Europe
1910,1910-12-10,140703,8077113,Peace,The Nobel Peace Prize,477,https://api.nobelprize.org/2/laureate/477,477,Bureau international permanent de la Paix,Bureau international permanent de la Paix,Bureau international permanent de la Paix,,,,,,,
1910,1910-11-05,140703,8077113,Physics,The Nobel Prize in Physics,15,https://api.nobelprize.org/2/laureate/15,15,Johannes Diderik,van der Waals,Johannes Diderik van der Waals,male,1837-11-23,Leiden,the Netherlands,Leiden,the Netherlands,Europe
1910,1910-10-20,140703,8077113,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,304,https://api.nobelprize.org/2/laureate/304,304,Albrecht,Kossel,Albrecht Kossel,male,1853-09-16,Rostock,Mecklenburg,Rostock,Germany,Europe
1911,1911-11-07,140695,8301005,Chemistry,The Nobel Prize in Chemistry,6,https://api.nobelprize.org/2/laureate/6,6,Marie,Curie,"Marie Curie, née Skłodowska",female,1867-11-07,Warsaw,Russian Empire,Warsaw,Poland,Europe
1911,1911-11-07,140695,8301005,Chemistry,The Nobel Prize in Chemistry,6,https://api.nobelprize.org/2/laureate/6,6,Marie,Curie,"Marie Curie, née Skłodowska",female,1867-11-07,Warsaw,Russian Empire,Warsaw,Poland,Europe
1911,1911-11-09,140695,8301005,Literature,The Nobel Prize in Literature,581,https://api.nobelprize.org/2/laureate/581,581,Maurice,Maeterlinck,Count Maurice (Mooris) Polidore Marie Bernhard Maeterlinck,male,1862-08-29,Ghent,Belgium,Ghent,Belgium,Europe
1911,1911-12-10,140695,8301005,Peace,The Nobel Peace Prize,478,https://api.nobelprize.org/2/laureate/478,478,Tobias,Asser,Tobias Michael Carel Asser,male,1838-04-28,Amsterdam,the Netherlands,Amsterdam,the Netherlands,Europe
1911,1911-12-10,140695,8301005,Peace,The Nobel Peace Prize,479,https://api.nobelprize.org/2/laureate/479,479,Alfred,Fried,Alfred Hermann Fried,male,1864-11-11,Vienna,Austria,Vienna,Austria,Europe
1911,1911-11-07,140695,8301005,Physics,The Nobel Prize in Physics,16,https://api.nobelprize.org/2/laureate/16,16,Wilhelm,Wien,Wilhelm Wien,male,1864-01-13,Gaffken,Prussia,Parusnoye,Russia,Europe
1911,1911-10-19,140695,8301005,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,305,https://api.nobelprize.org/2/laureate/305,305,Allvar,Gullstrand,Allvar Gullstrand,male,1862-06-05,Landskrona,Sweden,Landskrona,Sweden,Europe
1912,1912-11-12,140476,7650539,Chemistry,The Nobel Prize in Chemistry,172,https://api.nobelprize.org/2/laureate/172,172,Victor,Grignard,Victor Grignard,male,1871-05-06,Cherbourg,France,Cherbourg,France,Europe
1912,1912-11-12,140476,7650539,Chemistry,The Nobel Prize in Chemistry,173,https://api.nobelprize.org/2/laureate/173,173,Paul,Sabatier,Paul Sabatier,male,1854-11-05,Carcassonne,France,Carcassonne,France,Europe
1912,1912-11-14,140476,7650539,Literature,The Nobel Prize in Literature,582,https://api.nobelprize.org/2/laureate/582,582,Gerhart,Hauptmann,Gerhart Johann Robert Hauptmann,male,1862-11-15,Bad Salzbrunn,Prussia,Bad Salzbrunn,Poland,Europe
1912,1913-12-10,140476,7650539,Peace,The Nobel Peace Prize,480,https://api.nobelprize.org/2/laureate/480,480,Elihu,Root,Elihu Root,male,1845-02-15,"Clinton, NY",USA,"Clinton, NY",USA,North America
1912,1912-11-12,140476,7650539,Physics,The Nobel Prize in Physics,17,https://api.nobelprize.org/2/laureate/17,17,Gustaf,Dalén,Nils Gustaf Dalén,male,1869-11-30,Stenstorp,Sweden,Stenstorp,Sweden,Europe
1912,1912-10-10,140476,7650539,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,306,https://api.nobelprize.org/2/laureate/306,306,Alexis,Carrel,Alexis Carrel,male,1873-06-28,Sainte-Foy-lès-Lyon,France,Sainte-Foy-lès-Lyon,France,Europe
1913,1913-11-11,143010,7788545,Chemistry,The Nobel Prize in Chemistry,174,https://api.nobelprize.org/2/laureate/174,174,Alfred,Werner,Alfred Werner,male,1866-12-12,Mulhouse,France,Mulhouse,France,Europe
1913,1913-11-13,143010,7788545,Literature,The Nobel Prize in Literature,583,https://api.nobelprize.org/2/laureate/583,583,Rabindranath,Tagore,Rabindranath Tagore,male,1861-05-07,Calcutta,India,Calcutta,India,Asia
1913,1913-12-10,143010,7788545,Peace,The Nobel Peace Prize,481,https://api.nobelprize.org/2/laureate/481,481,Henri,La Fontaine,Henri La Fontaine,male,1854-04-22,Brussels,Belgium,Brussels,Belgium,Europe
1913,1913-11-11,143010,7788545,Physics,The Nobel Prize in Physics,18,https://api.nobelprize.org/2/laureate/18,18,Heike,Kamerlingh Onnes,Heike Kamerlingh Onnes,male,1853-09-21,Groningen,the Netherlands,Groningen,the Netherlands,Europe
1913,1913-10-30,143010,7788545,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,307,https://api.nobelprize.org/2/laureate/307,307,Charles,Richet,Charles Robert Richet,male,1850-08-26,Paris,France,Paris,France,Europe
1914,1915-11-11,146900,8000400,Chemistry,The Nobel Prize in Chemistry,175,https://api.nobelprize.org/2/laureate/175,175,Theodore W.,Richards,Theodore William Richards,male,1868-01-31,"Germantown, PA",USA,"Germantown, PA",USA,North America
1914,1915-11-11,146900,8000400,Physics,The Nobel Prize in Physics,19,https://api.nobelprize.org/2/laureate/19,19,Max,von Laue,Max von Laue,male,1879-10-09,Pfaffendorf,Germany,Pfaffendorf,Germany,Europe
1914,1915-10-29,146900,8000400,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,308,https://api.nobelprize.org/2/laureate/308,308,Robert,Bárány,Robert Bárány,male,1876-04-22,Vienna,Austria,Vienna,Austria,Europe
1915,1915-11-11,149223,7043326,Chemistry,The Nobel Prize in Chemistry,176,https://api.nobelprize.org/2/laureate/176,176,Richard,Willstätter,Richard Martin Willstätter,male,1872-08-13,Karlsruhe,Germany,Karlsruhe,Germany,Europe
1915,1916-11-09,149223,7043326,Literature,The Nobel Prize in Literature,584,https://api.nobelprize.org/2/laureate/584,584,Romain,Rolland,Romain Rolland,male,1866-01-29,Clamecy,France,Clamecy,France,Europe
1915,1915-11-12,149223,7043326,Physics,The Nobel Prize in Physics,20,https://api.nobelprize.org/2/laureate/20,20,William,Bragg,Sir William Henry Bragg,male,1862-07-02,Wigton,United Kingdom,Wigton,United Kingdom,Europe
1915,1915-11-12,149223,7043326,Physics,The Nobel Prize in Physics,21,https://api.nobelprize.org/2/laureate/21,21,Lawrence,Bragg,William Lawrence Bragg,male,1890-03-31,Adelaide,Australia,Adelaide,Australia,Oceania
1916,1916-11-09,131793,5488791,Literature,The Nobel Prize in Literature,585,https://api.nobelprize.org/2/laureate/585,585,Verner,von Heidenstam,Carl Gustaf Verner von Heidenstam,male,1859-07-06,Olshammar,Sweden,Olshammar,Sweden,Europe
1917,1917-11-08,133823,4441251,Literature,The Nobel Prize in Literature,586,https://api.nobelprize.org/2/laureate/586,586,Karl,Gjellerup,Karl Adolph Gjellerup,male,1857-06-02,Roholte,Denmark,Roholte,Denmark,Europe
1917,1917-11-08,133823,4441251,Literature,The Nobel Prize in Literature,587,https://api.nobelprize.org/2/laureate/587,587,Henrik,Pontoppidan,Henrik Pontoppidan,male,1857-07-24,Fredericia,Denmark,Fredericia,Denmark,Europe
1917,1917-12-10,133823,4441251,Peace,The Nobel Peace Prize,482,https://api.nobelprize.org/2/laureate/482,482,Comité international de la Croix Rouge,Comité international de la Croix Rouge,Comité international de la Croix Rouge,,,,,,,
1917,1917-12-10,133823,4441251,Peace,The Nobel Peace Prize,482,https://api.nobelprize.org/2/laureate/482,482,Comité international de la Croix Rouge,Comité international de la Croix Rouge,Comité international de la Croix Rouge,,,,,,,
1917,1917-12-10,133823,4441251,Peace,The Nobel Peace Prize,482,https://api.nobelprize.org/2/laureate/482,482,Comité international de la Croix Rouge,Comité international de la Croix Rouge,Comité international de la Croix Rouge,,,,,,,
1917,1918-11-12,133823,4441251,Physics,The Nobel Prize in Physics,22,https://api.nobelprize.org/2/laureate/22,22,Charles Glover,Barkla,Charles Glover Barkla,male,1877-06-07,Widnes,United Kingdom,Widnes,United Kingdom,Europe
1918,1919-11-13,138198,3225632,Chemistry,The Nobel Prize in Chemistry,177,https://api.nobelprize.org/2/laureate/177,177,Fritz,Haber,Fritz Haber,male,1868-12-09,Breslau,Prussia,Wroclaw,Poland,Europe
1918,1919-11-13,138198,3225632,Physics,The Nobel Prize in Physics,23,https://api.nobelprize.org/2/laureate/23,23,Max,Planck,Max Karl Ernst Ludwig Planck,male,1858-04-23,Kiel,Schleswig,Kiel,Germany,Europe
1919,1920-11-11,133127,2692969,Literature,The Nobel Prize in Literature,588,https://api.nobelprize.org/2/laureate/588,588,Carl,Spitteler,Carl Friedrich Georg Spitteler,male,1845-04-24,Liestal,Switzerland,Liestal,Switzerland,Europe
1919,1920-12-10,133127,2692969,Peace,The Nobel Peace Prize,483,https://api.nobelprize.org/2/laureate/483,483,Woodrow,Wilson,Thomas Woodrow Wilson,male,1856-12-28,"Staunton, VA",USA,"Staunton, VA",USA,North America
1919,1919-11-13,133127,2692969,Physics,The Nobel Prize in Physics,24,https://api.nobelprize.org/2/laureate/24,24,Johannes,Stark,Johannes Stark,male,1874-04-15,Schickenhof,Germany,Schickenhof,Germany,Europe
1919,1920-10-28,133127,2692969,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,309,https://api.nobelprize.org/2/laureate/309,309,Jules,Bordet,Jules Bordet,male,1870-06-13,Soignies,Belgium,Soignies,Belgium,Europe
1920,1921-11-10,134100,2712651,Chemistry,The Nobel Prize in Chemistry,178,https://api.nobelprize.org/2/laureate/178,178,Walther,Nernst,Walther Hermann Nernst,male,1864-06-25,Briesen,Prussia,Wąbrzeźno,Poland,Europe
1920,1920-11-11,134100,2712651,Literature,The Nobel Prize in Literature,589,https://api.nobelprize.org/2/laureate/589,589,Knut,Hamsun,Knut Pedersen Hamsun,male,1859-08-04,Lom,Norway,Lom,Norway,Europe
1920,1920-12-10,134100,2712651,Peace,The Nobel Peace Prize,484,https://api.nobelprize.org/2/laureate/484,484,Léon,Bourgeois,Léon Victor Auguste Bourgeois,male,1851-05-21,Paris,France,Paris,France,Europe
1920,1920-11-11,134100,2712651,Physics,The Nobel Prize in Physics,25,https://api.nobelprize.org/2/laureate/25,25,Charles Edouard,Guillaume,Charles Edouard Guillaume,male,1861-02-15,Fleurier,Switzerland,Fleurier,Switzerland,Europe
1920,1920-10-28,134100,2712651,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,310,https://api.nobelprize.org/2/laureate/310,310,August,Krogh,Schack August Steenberg Krogh,male,1874-11-15,Grenå,Denmark,Grenå,Denmark,Europe
1921,1922-11-09,121573,2869123,Chemistry,The Nobel Prize in Chemistry,179,https://api.nobelprize.org/2/laureate/179,179,Frederick,Soddy,Frederick Soddy,male,1877-09-02,Eastbourne,United Kingdom,Eastbourne,United Kingdom,Europe
1921,1921-11-10,121573,2869123,Literature,The Nobel Prize in Literature,590,https://api.nobelprize.org/2/laureate/590,590,Anatole,France,Anatole France,male,1844-04-16,Paris,France,Paris,France,Europe
1921,1921-12-10,121573,2869123,Peace,The Nobel Peace Prize,485,https://api.nobelprize.org/2/laureate/485,485,Hjalmar,Branting,Karl Hjalmar Branting,male,1860-11-23,Stockholm,Sweden,Stockholm,Sweden,Europe
1921,1921-12-10,121573,2869123,Peace,The Nobel Peace Prize,486,https://api.nobelprize.org/2/laureate/486,486,Christian,Lange,Christian Lous Lange,male,1869-09-17,Stavanger,Norway,Stavanger,Norway,Europe
1921,1922-11-09,121573,2869123,Physics,The Nobel Prize in Physics,26,https://api.nobelprize.org/2/laureate/26,26,Albert,Einstein,Albert Einstein,male,1879-03-14,Ulm,Germany,Ulm,Germany,Europe
1922,1922-11-09,122483,3563752,Chemistry,The Nobel Prize in Chemistry,180,https://api.nobelprize.org/2/laureate/180,180,Francis W.,Aston,Francis William Aston,male,1877-09-01,Harborne,United Kingdom,Harborne,United Kingdom,Europe
1922,1922-11-09,122483,3563752,Literature,The Nobel Prize in Literature,592,https://api.nobelprize.org/2/laureate/592,592,Jacinto,Benavente,Jacinto Benavente,male,1866-08-12,Madrid,Spain,Madrid,Spain,Europe
1922,1922-12-10,122483,3563752,Peace,The Nobel Peace Prize,487,https://api.nobelprize.org/2/laureate/487,487,Fridtjof,Nansen,Fridtjof Nansen,male,1861-10-10,Kristiania,Norway,Oslo,Norway,Europe
1922,1922-11-09,122483,3563752,Physics,The Nobel Prize in Physics,27,https://api.nobelprize.org/2/laureate/27,27,Niels,Bohr,Niels Henrik David Bohr,male,1885-10-07,Copenhagen,Denmark,Copenhagen,Denmark,Europe
1922,1922-10-25,122483,3563752,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,311,https://api.nobelprize.org/2/laureate/311,311,Archibald V.,Hill,Archibald Vivian Hill,male,1886-09-26,Bristol,United Kingdom,Bristol,United Kingdom,Europe
1922,1922-10-25,122483,3563752,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,312,https://api.nobelprize.org/2/laureate/312,312,Otto,Meyerhof,Otto Fritz Meyerhof,male,1884-04-12,Hanover,Germany,Hanover,Germany,Europe
1923,1923-11-13,114935,3590029,Chemistry,The Nobel Prize in Chemistry,181,https://api.nobelprize.org/2/laureate/181,181,Fritz,Pregl,Fritz Pregl,male,1869-09-03,Laibach,Austria-Hungary,Ljubljana,Slovenia,Europe
